kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 69 : 1048576 8534496 0 0 0 0 0 0 0 
_1.ptx 70 : 1048576 0 0 0 0 0 0 0 0 
_1.ptx 72 : 1048576 7541248 0 0 0 0 0 0 0 
_1.ptx 73 : 1048576 10933408 0 0 0 0 0 0 0 
_1.ptx 74 : 1048576 13580384 0 0 0 0 0 0 0 
_1.ptx 75 : 1048576 11656032 0 0 0 0 0 0 0 
_1.ptx 76 : 1048576 540556448 4194304 0 0 32768 32768 0 0 
_1.ptx 77 : 1048576 21561600 0 0 0 0 0 0 0 
_1.ptx 78 : 1048576 11633600 0 0 0 0 0 0 0 
_1.ptx 79 : 1048576 494305952 4194304 0 0 32768 32768 0 0 
_1.ptx 80 : 1048576 22075328 0 0 0 0 0 0 0 
_1.ptx 81 : 1048576 13685056 0 0 0 0 0 0 0 
_1.ptx 82 : 1048576 19994016 0 0 0 32768 32768 0 0 
_1.ptx 85 : 1048576 6370272 0 0 0 0 0 0 0 
_1.ptx 63 : 1048576 6573568 0 0 0 0 0 0 0 
_1.ptx 64 : 1048576 6613792 0 0 0 0 0 0 0 
_1.ptx 65 : 1048576 14236032 0 0 0 0 0 0 0 
_1.ptx 66 : 1048576 6409312 0 0 0 0 0 0 0 
_1.ptx 67 : 1048576 11680128 0 0 0 0 0 0 0 
_1.ptx 68 : 1048576 17714976 128 0 0 0 0 0 0 
