kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 35 : 2560000 19398848 0 0 0 0 0 0 0 
_1.ptx 36 : 2560000 19697984 0 0 0 0 0 0 0 
_1.ptx 37 : 2560000 17541280 0 0 0 0 0 0 0 
_2.ptx 38 : 1536000 11714400 0 0 0 0 0 0 0 
_1.ptx 38 : 2560000 19757344 0 0 0 0 0 0 0 
_2.ptx 39 : 1536000 11936992 0 0 0 0 0 0 0 
_1.ptx 39 : 2560000 28391488 0 80000 80000 0 0 0 0 
_2.ptx 40 : 1536000 10683936 0 0 0 0 0 0 0 
_1.ptx 40 : 2560000 27368384 0 80000 80000 0 0 0 0 
_2.ptx 41 : 1536000 11983648 0 0 0 0 0 0 0 
_1.ptx 41 : 2560000 20868960 0 0 0 0 0 0 0 
_2.ptx 42 : 1536000 18042912 0 48000 48000 0 0 0 0 
_1.ptx 42 : 2560000 0 0 0 0 0 0 0 0 
_2.ptx 43 : 1536000 17202592 0 48000 48000 0 0 0 0 
_1.ptx 43 : 2560000 22561760 0 0 0 0 0 0 0 
_2.ptx 44 : 1536000 12648640 0 0 0 0 0 0 0 
_1.ptx 44 : 2560000 21894816 0 0 0 0 0 0 0 
_2.ptx 45 : 1536000 0 0 0 0 0 0 0 0 
_1.ptx 45 : 2560000 20996512 0 0 0 0 0 0 0 
_2.ptx 46 : 1536000 13673120 0 0 0 0 0 0 0 
_1.ptx 46 : 2560000 21666592 0 0 0 0 0 0 0 
_2.ptx 47 : 1536000 13229088 0 0 0 0 0 0 0 
_1.ptx 47 : 2560000 20892096 0 0 0 0 0 0 0 
_2.ptx 48 : 1536000 12830112 0 0 0 0 0 0 0 
_1.ptx 48 : 2560000 21451136 0 0 0 0 0 0 0 
_2.ptx 49 : 1536000 12903712 0 0 0 0 0 0 0 
_1.ptx 49 : 2560000 27904288 0 0 0 0 0 0 0 
_2.ptx 50 : 1536000 12908672 0 0 0 0 0 0 0 
_1.ptx 50 : 2560000 27820672 0 0 0 0 0 0 0 
_2.ptx 51 : 1536000 13070304 0 0 0 0 0 0 0 
_1.ptx 51 : 5120000 731950368 80000 0 0 160000 160000 0 0 
_2.ptx 52 : 1536000 16955392 0 0 0 0 0 0 0 
_1.ptx 52 : 5120000 301578240 40064 0 0 160000 160000 0 0 
_2.ptx 53 : 1536000 17262624 0 0 0 0 0 0 0 
_1.ptx 53 : 5120000 33177856 0 0 0 0 0 0 0 
_2.ptx 54 : 1536000 17361920 0 0 0 0 0 0 0 
_1.ptx 54 : 5120000 73429408 0 0 0 0 0 0 0 
_2.ptx 55 : 1536000 17477408 0 0 0 0 0 0 0 
_1.ptx 55 : 5120000 79880512 0 0 0 0 0 0 0 
_2.ptx 56 : 3072000 387470592 48000 0 0 96000 96000 0 0 
_1.ptx 56 : 5120000 41386976 0 0 0 0 0 0 0 
