kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 314501 3160794 0 0 0 0 0 0 0 
_1.ptx 98 : 314501 90930583 3790976 0 0 171651 171651 0 0 
_1.ptx 99 : 314501 2222367 0 0 0 0 0 0 0 
_1.ptx 100 : 314501 3164599 0 0 0 0 0 0 0 
_1.ptx 101 : 314501 3159102 0 0 0 0 0 0 0 
_1.ptx 102 : 314501 12793395 7716480 0 0 296111 171651 0 0 
_1.ptx 103 : 314501 3163596 0 0 0 0 0 0 0 
_1.ptx 104 : 314501 1924972 0 0 0 0 0 0 0 
_1.ptx 105 : 314501 14723496 7011840 0 0 296111 171651 0 0 
_1.ptx 106 : 314501 3165718 0 0 0 0 0 0 0 
_1.ptx 107 : 314501 94326078 2578176 0 0 222351 171651 0 0 
_1.ptx 108 : 314501 87026725 27008 0 0 222351 171651 0 0 
_1.ptx 109 : 314501 3495708 0 0 0 0 0 0 0 
_1.ptx 110 : 393053 2402136 0 0 0 0 0 0 0 
_1.ptx 111 : 393053 3962191 0 0 0 0 0 0 0 
_1.ptx 112 : 393053 3191992 0 0 0 0 0 0 0 
_1.ptx 113 : 393053 4007140 0 0 0 0 0 0 0 
_1.ptx 114 : 393053 1988327 0 0 0 0 0 0 24680 
_1.ptx 115 : 65567 399001 0 0 0 0 0 0 0 
_1.ptx 117 : 65567 397730 0 0 0 0 0 0 0 
_1.ptx 34 : 49021952 365226848 0 0 0 0 0 0 0 
_1.ptx 35 : 49021952 542054464 0 0 0 0 0 0 0 
_1.ptx 36 : 49021952 389908288 0 0 0 0 0 0 0 
_1.ptx 37 : 49021952 0 0 0 0 0 0 0 0 
_1.ptx 38 : 49021952 529893504 0 0 0 0 0 0 0 
_1.ptx 39 : 49021952 6312838592 1128704 0 0 1531936 1531936 0 0 
_1.ptx 40 : 49021952 377065312 0 0 0 0 0 0 0 
_1.ptx 41 : 49021952 339647698 0 0 0 0 0 0 0 
_1.ptx 42 : 65535 689395 0 0 0 0 0 0 0 
_1.ptx 43 : 65535 430543 0 0 0 0 0 0 0 
_1.ptx 44 : 65535 2227641 0 0 0 25080 25080 0 0 
_1.ptx 45 : 65535 662956 0 0 0 0 0 0 0 
_1.ptx 46 : 65535 2572309 329664 0 0 25080 25080 0 0 
_1.ptx 47 : 65535 2321528 0 25080 25080 0 0 0 0 
_1.ptx 48 : 65535 2554118 2592 0 0 25080 25080 0 0 
_1.ptx 49 : 65535 396941 0 0 0 0 0 0 0 
_1.ptx 50 : 65535 2793403 0 0 0 25080 25080 0 0 
_1.ptx 52 : 65535 397256 0 0 0 0 0 0 0 
_1.ptx 70 : 49021952 363692800 0 0 0 0 0 0 0 
_1.ptx 71 : 49021952 541314144 0 0 0 0 0 0 0 
_1.ptx 72 : 49021952 388406048 0 0 0 0 0 0 0 
_1.ptx 73 : 49021952 0 0 0 0 0 0 0 0 
_1.ptx 74 : 49021952 529227264 0 0 0 0 0 0 0 
_1.ptx 75 : 49021952 6748275776 2006656 0 0 1531936 1531936 0 0 
_1.ptx 76 : 49021952 375156928 0 0 0 0 0 0 0 
_1.ptx 77 : 49021952 336656042 0 0 0 0 0 0 0 
_1.ptx 78 : 65567 498091 0 0 0 0 0 0 0 
_1.ptx 79 : 65567 437051 0 0 0 0 0 0 0 
_1.ptx 80 : 65567 682246 0 0 0 0 0 0 0 
_1.ptx 81 : 65567 1762484 20640 0 0 25090 25090 0 0 
_1.ptx 82 : 65567 670310 0 0 0 0 0 0 0 
_1.ptx 83 : 65567 35898438 4535680 0 0 36590 25090 0 0 
_1.ptx 84 : 65567 31725301 29440 0 0 36590 25090 0 0 
_1.ptx 85 : 65567 723786 0 0 0 0 0 0 0 
_1.ptx 86 : 65567 527416 0 0 0 0 0 0 0 
_1.ptx 87 : 65567 0 0 0 0 0 0 0 0 
_1.ptx 88 : 65567 462800 0 0 0 0 0 0 0 
_1.ptx 89 : 65567 658913 0 0 0 0 0 0 0 
_1.ptx 90 : 393053 155742623 10715648 0 0 340390 182118 0 0 
_1.ptx 91 : 393053 3948636 0 0 0 0 0 0 0 
_1.ptx 92 : 393053 200544889 27866496 0 0 315560 182118 0 0 
_1.ptx 93 : 393053 2776140 0 0 0 0 0 0 0 
_1.ptx 94 : 393053 2396916 0 0 0 0 0 0 0 
_1.ptx 95 : 393053 481866 0 0 0 0 0 0 40959 
_1.ptx 96 : 314501 2221755 0 0 0 0 0 0 0 
