kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_4.ptx 45 : 8448 50688 0 0 0 0 0 0 0 
_4.ptx 46 : 8448 59136 0 0 0 0 0 0 0 
_4.ptx 47 : 8448 61504 0 264 264 0 0 0 0 
_4.ptx 48 : 8448 84480 0 0 0 0 0 0 0 
_4.ptx 49 : 8448 113664 0 0 0 0 0 0 0 
_4.ptx 50 : 8448 60320 0 0 0 0 0 0 0 
_4.ptx 51 : 8448 111840 0 0 0 0 0 0 0 
_4.ptx 52 : 8448 59136 0 0 0 0 0 0 0 
_4.ptx 53 : 8448 63104 0 0 0 0 0 0 0 
_4.ptx 54 : 8448 104832 0 0 0 0 0 0 0 
_4.ptx 55 : 8448 63392 0 0 0 0 0 0 0 
_4.ptx 56 : 8448 67296 0 0 0 0 0 0 0 
_4.ptx 57 : 8448 117280 0 0 0 0 0 0 0 
_4.ptx 58 : 8448 70688 0 0 0 0 0 0 0 
_4.ptx 59 : 8448 74176 0 0 0 0 0 0 0 
_4.ptx 60 : 8448 89920 0 0 0 0 0 0 0 
_4.ptx 61 : 8448 75456 0 0 0 0 0 0 0 
_4.ptx 62 : 8448 121120 0 0 0 0 0 0 0 
_4.ptx 63 : 8448 92192 0 0 0 0 0 0 0 
_4.ptx 64 : 8448 68032 0 0 0 0 0 0 0 
_4.ptx 65 : 8448 58912 0 0 0 0 0 0 0 
_4.ptx 66 : 8448 96224 0 0 0 0 0 0 0 
_4.ptx 67 : 8448 93760 0 0 0 0 0 0 0 
_4.ptx 68 : 8448 60384 0 0 0 0 0 0 0 
_4.ptx 69 : 8448 63840 0 0 0 0 0 0 0 
_4.ptx 70 : 8448 59808 0 0 0 0 0 0 0 
_4.ptx 71 : 8448 59328 0 0 0 0 0 0 0 
_4.ptx 72 : 8448 51496 0 0 0 0 0 0 0 
_4.ptx 73 : 8448 61600 0 0 0 0 0 0 0 
_4.ptx 74 : 8448 46240 0 0 0 0 0 0 0 
_4.ptx 75 : 768 5376 0 24 24 0 0 0 0 
_4.ptx 76 : 768 5376 0 24 24 0 0 0 0 
_4.ptx 77 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 78 : 768 9984 0 0 0 0 0 0 0 
_4.ptx 79 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 80 : 768 9984 0 0 0 0 0 0 0 
_4.ptx 81 : 768 4608 0 0 0 0 0 0 0 
_3.ptx 135 : 1048576 7643072 0 0 0 0 0 0 0 
_3.ptx 136 : 1048576 7788704 0 0 0 0 0 0 0 
_3.ptx 137 : 1048576 7243712 0 0 0 0 0 0 0 
_3.ptx 138 : 1048576 8168544 0 0 0 0 0 0 0 
_3.ptx 139 : 1048576 7254112 0 0 0 0 0 0 0 
_3.ptx 140 : 1048576 12390208 0 0 0 0 0 0 0 
_3.ptx 141 : 1048576 1761024 0 0 0 0 0 0 0 
_3.ptx 142 : 786432 6100640 0 0 0 0 0 0 0 
_4.ptx 143 : 768 4608 0 0 0 0 0 0 0 
_3.ptx 143 : 786432 8884960 0 0 0 0 0 0 0 
_4.ptx 144 : 768 4608 0 0 0 0 0 0 0 
_3.ptx 144 : 786432 5815712 0 0 0 0 0 0 0 
_3.ptx 145 : 786432 8835008 0 0 0 0 0 0 0 
_3.ptx 146 : 786432 5787072 0 0 0 0 0 0 0 
_3.ptx 147 : 786432 8088704 0 0 0 0 0 0 0 
_3.ptx 148 : 786432 5798976 0 0 0 0 0 0 0 
_4.ptx 149 : 768 7680 0 0 0 0 0 0 0 
_3.ptx 149 : 786432 638400352 3145728 0 0 24576 24576 0 0 
_4.ptx 150 : 768 6144 0 0 0 0 0 0 0 
_3.ptx 150 : 786432 31808064 0 24576 24576 0 0 0 0 
_4.ptx 151 : 768 5376 0 0 0 0 0 0 0 
_3.ptx 151 : 1048576 6724992 0 0 0 0 0 0 0 
_4.ptx 152 : 768 5376 0 24 24 0 0 0 0 
_3.ptx 152 : 1048576 6796064 0 0 0 0 0 0 0 
_4.ptx 153 : 768 7680 0 0 0 0 0 0 0 
_3.ptx 153 : 1048576 12026400 0 0 0 0 0 0 0 
_4.ptx 154 : 768 8832 0 0 0 0 0 0 0 
_3.ptx 154 : 1048576 8310560 0 0 0 0 0 0 0 
_4.ptx 155 : 768 9984 0 0 0 0 0 0 0 
_3.ptx 155 : 1048576 0 0 0 0 0 0 0 0 
_4.ptx 156 : 768 5376 0 0 0 0 0 0 0 
_3.ptx 156 : 1048576 8448928 0 0 0 0 0 0 0 
_4.ptx 157 : 768 8448 0 0 0 0 0 0 0 
_3.ptx 157 : 1048576 8166368 0 0 0 0 0 0 0 
_4.ptx 158 : 768 9984 0 0 0 0 0 0 0 
_3.ptx 158 : 1048576 11651616 0 0 0 0 0 0 0 
_4.ptx 159 : 768 5376 0 24 24 0 0 0 0 
_3.ptx 159 : 1048576 8934080 0 0 0 0 0 0 0 
_4.ptx 160 : 768 8672 0 0 0 0 0 0 0 
_3.ptx 160 : 1048576 9011680 0 0 0 0 0 0 0 
_4.ptx 161 : 768 6144 0 0 0 0 0 0 0 
_3.ptx 161 : 1048576 12036000 0 0 0 0 0 0 0 
_4.ptx 162 : 768 0 0 0 0 0 0 0 0 
_3.ptx 162 : 1048576 12461760 0 0 0 0 0 0 0 
_4.ptx 163 : 768 0 0 0 0 0 0 0 0 
_3.ptx 163 : 1048576 9932800 0 0 0 0 0 0 0 
_4.ptx 164 : 768 0 0 0 0 0 0 0 0 
_3.ptx 164 : 1048576 65759008 4194304 0 0 32768 32768 0 0 
_4.ptx 165 : 768 5408 0 0 0 0 0 0 0 
_3.ptx 165 : 1048576 11273472 0 0 0 0 0 0 0 
_4.ptx 166 : 768 7680 0 0 0 0 0 0 0 
_3.ptx 166 : 1048576 11222912 0 0 0 0 0 0 0 
_4.ptx 167 : 768 146400 896 0 0 24 24 0 0 
_3.ptx 167 : 1048576 8588864 0 0 0 0 0 0 0 
_4.ptx 168 : 768 8448 0 0 0 0 0 0 0 
_3.ptx 168 : 1048576 82548512 4194304 0 0 32768 32768 0 0 
_4.ptx 169 : 768 6144 0 0 0 0 0 0 0 
_3.ptx 169 : 1048576 10947680 0 0 0 0 0 0 0 
_4.ptx 170 : 768 0 0 0 0 0 0 0 0 
_3.ptx 170 : 1048576 10970016 0 0 0 0 0 0 0 
_4.ptx 171 : 768 0 0 0 0 0 0 0 0 
_3.ptx 171 : 1048576 92928832 4194304 0 0 32768 32768 0 0 
_4.ptx 172 : 768 0 0 0 0 0 0 0 0 
_4.ptx 173 : 768 5376 0 0 0 0 0 0 0 
_3.ptx 173 : 1048576 6643232 0 0 0 0 0 0 0 
_4.ptx 174 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 175 : 768 7680 0 0 0 0 0 0 0 
_4.ptx 176 : 768 129280 256 0 0 24 24 0 0 
_4.ptx 177 : 768 6144 0 0 0 0 0 0 0 
_4.ptx 178 : 768 0 0 0 0 0 0 0 0 
_4.ptx 179 : 768 0 0 0 0 0 0 0 0 
_4.ptx 180 : 768 0 0 0 0 0 0 0 0 
_4.ptx 181 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 182 : 768 7680 0 0 0 0 0 0 0 
_4.ptx 183 : 768 133376 512 0 0 24 24 0 0 
_4.ptx 184 : 768 3072 3072 0 0 0 0 0 0 
_4.ptx 185 : 768 4608 0 0 0 0 0 0 0 
_4.ptx 186 : 768 0 0 0 0 0 0 0 0 
_4.ptx 187 : 768 7680 0 0 0 0 0 0 0 
_4.ptx 188 : 768 6240 0 0 0 0 0 0 0 
_4.ptx 189 : 768 120 0 0 0 0 0 0 0 
_4.ptx 190 : 768 7776 0 0 0 0 0 0 0 
_4.ptx 191 : 768 4640 0 0 0 0 0 0 0 
_4.ptx 192 : 768 5440 0 0 0 0 0 0 0 
_4.ptx 193 : 768 8800 0 0 0 0 0 0 0 
_4.ptx 194 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 195 : 768 10016 0 0 0 0 0 0 0 
_4.ptx 196 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 197 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 198 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 199 : 768 9984 0 0 0 0 0 0 0 
_4.ptx 200 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 201 : 768 8480 0 0 0 0 0 0 0 
_4.ptx 202 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 203 : 768 5408 0 0 0 0 0 0 0 
_4.ptx 204 : 768 4672 0 0 0 0 0 0 0 
_4.ptx 266 : 768 4736 0 0 0 0 0 0 0 
_4.ptx 267 : 768 4686 0 0 0 0 0 0 3 
_4.ptx 268 : 3 18 0 0 0 0 0 0 0 
_4.ptx 269 : 3 33 0 0 0 0 0 0 0 
_4.ptx 270 : 3 30 0 0 0 0 0 0 0 
_4.ptx 271 : 3 18 0 0 0 0 0 0 0 
_4.ptx 272 : 765 7682 0 0 0 0 0 0 0 
_4.ptx 273 : 765 6216 0 0 0 0 0 0 0 
_4.ptx 274 : 765 5313 0 0 0 0 0 0 0 
_4.ptx 275 : 768 5376 0 24 24 0 0 0 0 
_4.ptx 276 : 768 7680 0 0 0 0 0 0 0 
_4.ptx 277 : 768 8800 0 0 0 0 0 0 0 
_4.ptx 278 : 768 9984 0 0 0 0 0 0 0 
_4.ptx 279 : 768 5472 0 0 0 0 0 0 0 
_4.ptx 280 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 281 : 768 10016 0 0 0 0 0 0 0 
_4.ptx 282 : 768 5472 0 24 24 0 0 0 0 
_4.ptx 283 : 768 8672 0 0 0 0 0 0 0 
_4.ptx 284 : 768 6144 0 0 0 0 0 0 0 
_4.ptx 285 : 768 0 0 0 0 0 0 0 0 
_4.ptx 286 : 768 0 0 0 0 0 0 0 0 
_4.ptx 287 : 768 0 0 0 0 0 0 0 0 
_4.ptx 288 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 289 : 768 7744 0 0 0 0 0 0 0 
_4.ptx 290 : 768 61248 0 0 0 57 24 0 0 
_4.ptx 291 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 292 : 768 6144 0 0 0 0 0 0 0 
_4.ptx 293 : 768 0 0 0 0 0 0 0 0 
_4.ptx 294 : 768 0 0 0 0 0 0 0 0 
_4.ptx 295 : 768 0 0 0 0 0 0 0 0 
_4.ptx 296 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 297 : 768 8448 0 0 0 0 0 0 0 
_4.ptx 298 : 768 7680 0 0 0 0 0 0 0 
_4.ptx 299 : 768 67392 0 0 0 57 24 0 0 
_4.ptx 300 : 768 6144 0 0 0 0 0 0 0 
_4.ptx 301 : 768 0 0 0 0 0 0 0 0 
_4.ptx 302 : 768 0 0 0 0 0 0 0 0 
_4.ptx 303 : 768 0 0 0 0 0 0 0 0 
_4.ptx 304 : 768 5504 0 0 0 0 0 0 0 
_4.ptx 305 : 768 7840 0 0 0 0 0 0 0 
_4.ptx 306 : 768 61088 0 0 0 57 24 0 0 
_4.ptx 307 : 768 3136 3072 0 0 0 0 0 0 
_4.ptx 308 : 768 4608 0 0 0 0 0 0 0 
_4.ptx 317 : 768 4640 0 0 0 0 0 0 0 
_4.ptx 318 : 768 4640 0 0 0 0 0 0 0 
_4.ptx 319 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 320 : 768 0 0 0 0 0 0 0 0 
_4.ptx 321 : 768 4640 0 0 0 0 0 0 0 
_4.ptx 322 : 768 5376 0 0 0 0 0 0 0 
_4.ptx 323 : 768 5504 0 0 0 0 0 0 0 
_4.ptx 324 : 768 5504 0 0 0 0 0 0 0 
_4.ptx 325 : 768 7840 0 0 0 0 0 0 0 
