kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 107 : 7680 53760 0 240 240 0 0 0 0 
_1.ptx 108 : 7680 46080 0 0 0 0 0 0 0 
_1.ptx 109 : 7680 69600 0 0 0 0 0 0 0 
_1.ptx 110 : 7680 91680 0 0 0 0 0 0 0 
_1.ptx 111 : 7680 92448 0 0 0 0 0 0 0 
_1.ptx 112 : 7680 102048 0 0 0 0 0 0 0 
_1.ptx 113 : 7680 83136 0 0 0 0 0 0 0 
_1.ptx 114 : 7680 53232 0 0 0 0 0 0 0 
_1.ptx 115 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 116 : 120 840 0 15 15 0 0 0 0 
_1.ptx 117 : 120 840 0 15 15 0 0 0 0 
_1.ptx 118 : 120 840 0 15 15 0 0 0 0 
_1.ptx 119 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 120 : 120 1320 0 0 0 0 0 0 0 
_1.ptx 121 : 120 1320 0 0 0 0 0 0 0 
_1.ptx 122 : 120 1560 0 0 0 0 0 0 0 
_1.ptx 123 : 120 1560 0 0 0 0 0 0 0 
_1.ptx 124 : 120 840 0 0 0 0 0 0 0 
_1.ptx 125 : 120 840 0 0 0 0 0 0 0 
_1.ptx 126 : 120 1560 0 0 0 0 0 0 0 
_1.ptx 127 : 120 1560 0 0 0 0 0 0 0 
_1.ptx 128 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 129 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 130 : 120 840 0 0 0 0 0 0 0 
_1.ptx 131 : 120 840 0 0 0 0 0 0 0 
_1.ptx 132 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 133 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 134 : 120 11925 128 0 0 15 15 0 0 
_1.ptx 37 : 3840 26880 0 240 240 0 0 0 0 
_1.ptx 135 : 120 22564 896 0 0 64 15 0 0 
_1.ptx 38 : 3840 23040 0 0 0 0 0 0 0 
_1.ptx 136 : 120 840 0 0 0 0 0 0 0 
_1.ptx 39 : 3840 26880 0 0 0 0 0 0 0 
_1.ptx 137 : 120 0 0 0 0 0 0 0 0 
_1.ptx 40 : 3840 38400 0 0 0 0 0 0 0 
_1.ptx 138 : 120 0 0 0 0 0 0 0 0 
_1.ptx 41 : 3840 46080 0 0 0 0 0 0 0 
_1.ptx 139 : 120 1680 0 0 0 0 0 0 0 
_1.ptx 42 : 3840 38400 0 0 0 0 0 0 0 
_1.ptx 140 : 120 1320 0 0 0 0 0 0 0 
_1.ptx 43 : 3840 30720 0 0 0 0 0 0 0 
_1.ptx 44 : 3840 11520 0 0 0 0 0 0 0 
_1.ptx 141 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 45 : 1920 13440 0 0 0 0 0 0 0 
_1.ptx 142 : 120 1132 928 0 0 64 15 0 0 
_1.ptx 46 : 1920 11520 0 0 0 0 0 0 0 
_1.ptx 47 : 1920 13440 0 0 0 0 0 0 0 
_1.ptx 144 : 120 720 0 0 0 0 0 0 0 
_1.ptx 48 : 1920 23040 0 0 0 0 0 0 0 
_1.ptx 49 : 1920 15360 0 0 0 0 0 0 0 
_1.ptx 50 : 1920 3360 0 0 0 0 0 0 0 
_1.ptx 51 : 1360 13600 0 0 0 0 0 0 0 
_1.ptx 52 : 1360 9520 0 110 110 0 0 0 0 
_1.ptx 53 : 1360 9520 0 110 110 0 0 0 0 
_1.ptx 54 : 1360 13600 0 0 0 0 0 0 0 
_1.ptx 55 : 1360 14992 0 0 0 0 0 0 0 
_1.ptx 56 : 1360 15232 0 0 0 0 0 0 0 
_1.ptx 57 : 1360 17680 0 0 0 0 0 0 0 
_1.ptx 58 : 1360 17680 0 0 0 0 0 0 0 
_1.ptx 59 : 1360 9520 0 0 0 0 0 0 0 
_1.ptx 60 : 1360 9520 0 0 0 0 0 0 0 
_1.ptx 61 : 1360 17680 0 0 0 0 0 0 0 
_1.ptx 62 : 1360 13608 0 0 0 0 0 0 0 
_1.ptx 63 : 1360 17680 0 0 0 0 0 0 0 
_1.ptx 64 : 1360 14968 0 0 0 0 0 0 0 
_1.ptx 65 : 1360 13600 0 0 0 0 0 0 0 
_1.ptx 66 : 1360 14960 0 0 0 0 0 0 0 
_1.ptx 67 : 1360 9520 0 0 0 0 0 0 0 
_1.ptx 68 : 1360 9520 0 0 0 0 0 0 0 
_1.ptx 69 : 1360 9520 0 0 0 0 0 0 0 
_1.ptx 70 : 1360 13600 0 0 0 0 0 0 0 
_1.ptx 71 : 1360 13608 0 0 0 0 0 0 0 
_1.ptx 72 : 1360 10880 0 0 0 0 0 0 0 
_1.ptx 73 : 1360 13600 0 0 0 0 0 0 0 
_1.ptx 74 : 1360 160384 0 0 0 110 110 0 0 
_1.ptx 75 : 1360 156828 0 0 0 240 110 0 0 
_1.ptx 76 : 1360 229756 0 0 0 240 110 0 0 
_1.ptx 77 : 1360 17680 0 0 0 0 0 0 0 
_1.ptx 78 : 1360 8648 0 0 0 240 110 0 0 
_1.ptx 79 : 1360 7440 0 0 0 0 0 0 0 
_1.ptx 80 : 120 844 0 0 0 0 0 0 0 
_1.ptx 81 : 120 720 0 0 0 0 0 0 0 
_1.ptx 82 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 83 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 84 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 85 : 120 1200 0 0 0 0 0 0 0 
_1.ptx 86 : 120 636 0 0 0 76 36 0 0 
_1.ptx 87 : 120 19963 128 0 0 36 36 0 0 
_1.ptx 88 : 120 19243 0 0 0 36 36 0 0 
_1.ptx 89 : 120 1560 0 0 0 0 0 0 0 
_1.ptx 90 : 120 600 0 0 0 36 36 0 0 
_1.ptx 92 : 120 720 0 0 0 0 0 0 0 
