kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1990 : 13056 112576 0 0 0 0 0 0 0 
_1.ptx 597 : 13056 96512 0 0 0 0 0 0 0 
_1.ptx 1991 : 13056 94336 0 0 0 0 0 0 0 
_1.ptx 598 : 13056 101248 0 0 0 0 0 0 0 
_1.ptx 599 : 13056 90904 0 0 0 0 0 0 51 
_1.ptx 600 : 51 8771 128 0 0 0 0 0 0 
_1.ptx 601 : 51 1220 0 0 0 0 0 0 0 
_1.ptx 602 : 51 601 0 0 0 0 0 0 0 
_1.ptx 603 : 51 665 0 0 0 0 0 0 0 
_1.ptx 604 : 51 381 0 0 0 0 0 0 0 
_1.ptx 605 : 51 667 0 0 0 0 0 0 0 
_1.ptx 606 : 51 539 0 0 0 0 0 0 0 
_1.ptx 607 : 51 385 0 0 0 0 0 0 0 
_1.ptx 608 : 51 390 0 0 0 0 0 0 0 
_1.ptx 609 : 51 578 0 0 0 0 0 0 0 
_1.ptx 610 : 51 12193 256 0 0 51 51 0 0 
_1.ptx 611 : 51 578 0 0 0 0 0 0 0 
_1.ptx 612 : 51 255 1632 0 0 51 51 0 0 
_1.ptx 613 : 51 562 0 0 0 0 0 0 0 
_1.ptx 614 : 51 14130 256 0 0 51 51 0 0 
_1.ptx 615 : 51 566 0 0 0 0 0 0 0 
_1.ptx 616 : 51 255 1632 0 0 51 51 0 0 
_1.ptx 617 : 13056 98752 0 0 0 0 0 0 0 
_1.ptx 618 : 13056 87584 0 0 0 0 0 0 0 
_1.ptx 619 : 13056 0 0 0 0 0 0 0 0 
_1.ptx 620 : 13056 55584 0 0 0 0 0 0 0 
_1.ptx 621 : 13056 105664 0 0 0 0 0 0 0 
_1.ptx 622 : 13056 153152 0 0 0 0 0 0 0 
_1.ptx 623 : 13056 149568 0 0 0 0 0 0 0 
_1.ptx 624 : 132651 1509511 0 0 0 0 0 0 0 
_1.ptx 625 : 132651 3005408 128 0 0 0 0 0 0 
_1.ptx 626 : 132651 1179045 0 0 0 0 0 0 0 
_1.ptx 627 : 132651 1083083 0 0 0 0 0 0 0 
_1.ptx 628 : 132651 1165259 0 0 0 0 0 0 0 
_1.ptx 629 : 132651 405454 0 0 0 0 0 0 0 
_1.ptx 630 : 132651 1178010 0 0 0 0 0 0 0 
_1.ptx 631 : 132651 1079879 0 0 0 0 0 0 0 
_1.ptx 632 : 132651 1254038 0 0 0 0 0 0 0 
_1.ptx 633 : 132651 1626175 0 0 0 0 0 0 0 
_1.ptx 634 : 132651 8246 0 0 0 0 0 0 0 
_1.ptx 635 : 132651 29536 0 0 0 0 0 0 0 
_1.ptx 636 : 132651 30015 0 0 0 0 0 0 0 
_1.ptx 637 : 132651 594159 0 0 0 4182 4182 0 0 
_1.ptx 638 : 132651 607154 0 0 0 4182 4182 0 0 
_1.ptx 639 : 132651 1585548 0 0 0 0 0 0 0 
_1.ptx 640 : 132651 418437 0 0 0 0 0 0 0 
_1.ptx 641 : 132651 1519181 0 0 0 0 0 0 0 
_1.ptx 642 : 132651 2102023 0 0 0 0 0 0 0 
_1.ptx 643 : 132651 2264253 0 0 0 0 0 0 0 
_1.ptx 644 : 132651 413887 0 0 0 0 0 0 0 
_1.ptx 645 : 132651 1172597 0 0 0 0 0 0 0 
_1.ptx 646 : 132651 2159292 0 0 0 0 0 0 0 
_1.ptx 647 : 132651 2381253 0 0 0 0 0 0 0 
_1.ptx 648 : 132651 2240248 0 0 0 0 0 0 0 
_1.ptx 649 : 132651 1617559 0 0 0 0 0 0 0 
_1.ptx 650 : 132651 1217035 0 0 0 0 0 0 0 
_1.ptx 651 : 132651 1655765 0 0 0 0 0 0 0 
_1.ptx 652 : 132651 2179723 0 0 0 0 0 0 0 
_1.ptx 653 : 132651 1555067 0 0 0 0 0 0 0 
_1.ptx 654 : 132651 1650123 0 0 0 0 0 0 0 
_1.ptx 655 : 132651 1223658 0 0 0 0 0 0 0 
_1.ptx 656 : 132651 1214297 0 0 0 0 0 0 0 
_1.ptx 657 : 132651 1580416 0 0 0 0 0 0 0 
_1.ptx 658 : 132651 34956845 442112 0 0 10569 4182 0 0 
_1.ptx 659 : 132651 1596295 0 0 0 0 0 0 0 
_1.ptx 660 : 132651 1551369 0 0 0 0 0 0 0 
_1.ptx 661 : 132651 1206906 0 0 0 0 0 0 0 
_1.ptx 662 : 132651 1233047 511808 0 0 8164 4182 0 0 
_1.ptx 663 : 132651 934219 0 0 0 0 0 0 51 
_1.ptx 664 : 13056 92320 0 0 0 0 0 0 0 
_1.ptx 665 : 13056 104128 0 0 0 0 0 0 0 
_1.ptx 666 : 13056 104704 0 0 0 0 0 0 0 
_1.ptx 667 : 13056 106208 0 0 0 0 0 0 0 
_1.ptx 668 : 13056 94016 0 0 0 0 0 0 0 
_1.ptx 2064 : 132651 1155024 0 0 0 0 0 0 0 
_1.ptx 2065 : 132651 1148100 0 0 0 0 0 0 0 
_1.ptx 2066 : 132651 1151889 0 0 0 0 0 0 0 
_1.ptx 2067 : 132651 3290224 0 0 0 0 0 0 0 
_1.ptx 2068 : 132651 1135254 0 0 0 0 0 0 0 
_1.ptx 2069 : 132651 1522543 0 0 0 0 0 0 0 
_1.ptx 2070 : 132651 1636297 0 0 0 0 0 0 0 
_1.ptx 2071 : 132651 1157447 0 0 0 0 0 0 0 
_1.ptx 2072 : 132651 2756817 0 0 0 0 0 0 0 
_1.ptx 2073 : 132651 2619642 0 0 0 0 0 0 0 
_1.ptx 2074 : 132651 1186141 0 0 0 0 0 0 0 
_1.ptx 2075 : 132651 2552473 0 0 0 0 0 0 0 
_1.ptx 2076 : 132651 1620841 0 0 0 0 0 0 0 
_1.ptx 2077 : 132651 1200629 0 0 0 0 0 0 0 
_1.ptx 2078 : 132651 1647619 0 0 0 0 0 0 0 
_1.ptx 2079 : 132651 1201950 0 0 0 0 0 0 0 
_1.ptx 2080 : 132651 1620138 0 0 0 0 0 0 0 
_1.ptx 2081 : 132651 2272903 0 0 0 0 0 0 0 
_1.ptx 2082 : 132651 2341004 0 0 0 0 0 0 0 
_1.ptx 2083 : 132651 1200689 0 0 0 0 0 0 0 
_1.ptx 2084 : 132651 2338190 0 0 0 0 0 0 0 
