kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 946688 3842336 0 0 0 0 0 0 0 
_1.ptx 200 : 473344 4414784 0 0 0 0 0 0 0 
_1.ptx 201 : 473344 3970112 0 0 0 0 0 0 0 
_1.ptx 202 : 473344 2982487 0 0 0 0 0 0 0 
_1.ptx 203 : 473344 4264079 0 0 0 0 0 0 0 
_1.ptx 204 : 473344 3218429 0 0 0 0 0 0 0 
_1.ptx 205 : 473344 4131607 0 0 0 0 0 0 0 
_1.ptx 206 : 473344 6438631 0 14620 14620 0 0 0 0 
_1.ptx 207 : 473344 3611401 0 14620 14620 0 0 0 0 
_1.ptx 208 : 473344 3187680 0 0 0 0 0 0 0 
_1.ptx 209 : 473344 3850688 0 0 0 0 0 0 0 
_1.ptx 210 : 473344 3918784 0 0 0 0 0 0 0 
_1.ptx 211 : 473344 3513120 0 0 0 0 0 0 0 
_1.ptx 216 : 473344 4497952 0 0 0 0 0 0 0 
_1.ptx 217 : 473344 3702656 0 0 0 0 0 0 0 
_1.ptx 218 : 473344 1638144 0 0 0 0 0 0 0 
_1.ptx 219 : 262144 2068680 0 0 0 0 0 0 0 
_1.ptx 220 : 262144 4368288 0 0 0 0 0 0 0 
_1.ptx 221 : 262144 5003024 0 0 0 0 0 0 0 
_1.ptx 222 : 262144 3888496 0 11008 11008 0 0 0 0 
_1.ptx 223 : 262144 2220448 0 0 0 0 0 0 0 
_1.ptx 224 : 262144 4670080 0 0 0 0 0 0 0 
_1.ptx 225 : 262144 5445744 0 0 0 0 0 0 0 
_1.ptx 226 : 262144 5561624 0 0 0 0 0 0 0 
_1.ptx 227 : 262144 2520664 0 0 0 0 0 0 0 
_1.ptx 228 : 262144 2578632 0 0 0 0 0 0 0 
_1.ptx 229 : 262144 3308952 0 0 0 0 0 0 0 
_1.ptx 230 : 262144 2679312 0 0 0 0 0 0 0 
_1.ptx 231 : 262144 3445544 0 0 0 0 0 0 0 
_1.ptx 232 : 262144 3469128 0 0 0 0 0 0 0 
_1.ptx 233 : 262144 5626432 0 0 0 0 0 0 0 
_1.ptx 234 : 262144 2698728 0 0 0 0 0 0 0 
_1.ptx 235 : 262144 3364056 0 0 0 0 0 0 0 
_1.ptx 236 : 262144 3273736 0 0 0 0 0 0 0 
_1.ptx 237 : 262144 2511952 0 0 0 0 0 0 0 
_1.ptx 238 : 262144 3000424 0 11008 11008 0 0 0 0 
_1.ptx 239 : 262144 3095648 0 0 0 0 0 0 0 
_1.ptx 240 : 262144 2203904 888512 0 0 27136 11008 0 0 
_1.ptx 242 : 262144 2082280 0 0 0 0 0 0 0 
_1.ptx 43 : 473344 3595520 0 0 0 0 0 0 0 
_1.ptx 44 : 473344 3631776 0 0 0 0 0 0 0 
_1.ptx 45 : 473344 5283520 0 0 0 0 0 0 0 
