kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 388 : 495616 3480064 0 0 0 0 0 0 0 
_1.ptx 389 : 495616 5972352 0 0 0 0 0 0 0 
_1.ptx 390 : 495616 3496736 0 0 0 0 0 0 0 
_1.ptx 391 : 495616 9576 0 0 0 0 0 0 0 
_1.ptx 392 : 494020 3523292 0 0 0 0 0 0 0 
_1.ptx 393 : 494020 0 0 0 0 0 0 0 0 
_1.ptx 394 : 494020 253314112 0 15439 15439 0 0 0 0 
_1.ptx 395 : 494020 6063820 0 0 0 0 0 0 0 
_1.ptx 396 : 494020 6628980 0 0 0 0 0 0 0 
_1.ptx 397 : 494020 3549116 0 0 0 0 0 0 0 
_1.ptx 398 : 494020 6514164 0 0 0 0 0 0 0 
_1.ptx 399 : 494020 3587932 0 0 0 0 0 0 0 
_1.ptx 400 : 494020 3594844 0 0 0 0 0 0 0 
_1.ptx 401 : 494020 3076248 0 0 0 0 0 0 0 
_1.ptx 402 : 494020 5051912 0 0 0 0 0 0 0 
_1.ptx 403 : 494020 5010600 0 0 0 0 0 0 0 
_1.ptx 404 : 494020 5013576 0 0 0 0 0 0 0 
_1.ptx 405 : 16796680 25378425180 112159616 0 0 16796680 524926 0 0 
_1.ptx 406 : 16796680 168692336 0 0 0 0 0 0 0 
_1.ptx 407 : 16796680 13830498844 83463264 0 0 972628 524926 0 0 
_1.ptx 408 : 16796680 135562768 0 0 0 0 0 0 0 
_1.ptx 409 : 16796680 169722168 0 0 0 0 0 0 0 
_1.ptx 312 : 991232 6554912 0 0 0 0 0 0 0 
_1.ptx 410 : 16796680 185181820 0 0 0 0 0 0 0 
_1.ptx 313 : 991232 6571712 0 0 0 0 0 0 0 
_1.ptx 411 : 16796680 100354212 0 0 0 0 0 0 0 
_1.ptx 314 : 991232 12370304 0 0 0 0 0 0 0 
_1.ptx 412 : 494020 3064856 0 0 0 0 0 0 0 
_1.ptx 315 : 991232 12995104 0 0 0 0 0 0 0 
_1.ptx 316 : 991232 7462528 0 0 0 0 0 0 0 
_1.ptx 414 : 494020 2981720 0 0 0 0 0 0 0 
_1.ptx 317 : 991232 12662400 0 0 0 0 0 0 0 
_1.ptx 318 : 991232 12571552 0 0 0 0 0 0 0 
_1.ptx 319 : 991232 7541728 0 0 0 0 0 0 0 
_1.ptx 320 : 991232 12424288 0 0 0 0 0 0 0 
_1.ptx 321 : 991232 7577376 0 0 0 0 0 0 0 
_1.ptx 322 : 991232 11376544 0 0 0 0 0 0 0 
_1.ptx 323 : 991232 7686400 0 0 0 0 0 0 0 
_1.ptx 324 : 991232 7781024 0 0 0 0 0 0 0 
_1.ptx 325 : 991232 6901152 0 0 0 0 0 0 0 
_1.ptx 326 : 991232 21416 0 0 0 0 0 0 2 
_1.ptx 327 : 988040 7649816 0 0 0 0 0 0 0 
_1.ptx 328 : 988040 0 0 0 0 0 0 0 0 
_1.ptx 329 : 988040 7537852 0 0 0 0 0 0 0 
_1.ptx 330 : 988040 6781072 0 0 0 0 0 0 0 
_1.ptx 331 : 988040 6781588 0 0 0 0 0 0 0 
_1.ptx 332 : 988040 7602332 0 0 0 0 0 0 0 
_1.ptx 333 : 4940200 0 0 0 0 0 0 0 0 
_1.ptx 334 : 4940200 246656644 0 154390 154390 0 0 0 0 
_1.ptx 335 : 4940200 56385660 0 0 0 0 0 0 0 
_1.ptx 336 : 4940200 64987852 0 0 0 0 0 0 0 
_1.ptx 337 : 4940200 36904768 0 0 0 0 0 0 0 
_1.ptx 338 : 4940200 64627888 0 0 0 0 0 0 0 
_1.ptx 339 : 4940200 36815072 0 0 0 0 0 0 0 
_1.ptx 340 : 4940200 36827304 0 0 0 0 0 0 0 
_1.ptx 341 : 4940200 36961728 0 0 0 0 0 0 0 
_1.ptx 342 : 4940200 51747736 0 0 0 0 0 0 0 
_1.ptx 343 : 167966800 1388768788 0 0 0 0 0 0 0 
_1.ptx 344 : 167966800 148034503320 1045436544 0 0 0 0 0 0 
_1.ptx 345 : 167966800 1764124132 0 0 0 0 0 0 0 
_1.ptx 346 : 167966800 1934836732 0 0 0 0 0 0 0 
_1.ptx 347 : 167966800 1455778068 0 0 0 0 0 0 0 
_1.ptx 348 : 167966800 2310788912 0 0 0 0 0 0 0 
_1.ptx 349 : 167966800 1897777460 0 0 0 0 0 0 0 
_1.ptx 350 : 167966800 1912149580 0 0 0 0 0 0 0 
_1.ptx 351 : 167966800 1335102404 0 0 0 0 0 0 0 
_1.ptx 352 : 4940200 41644896 0 0 0 0 0 0 0 
_1.ptx 354 : 4940200 44258876 0 0 0 0 0 0 0 
_1.ptx 355 : 4940200 17224834 0 0 0 0 0 0 0 
_1.ptx 356 : 4940200 17100163 0 0 0 0 0 0 0 
_1.ptx 357 : 4940200 52873504 0 0 0 0 0 0 0 
_1.ptx 358 : 4940200 37530508 0 0 0 0 0 0 0 
_1.ptx 359 : 4940200 25775940 0 0 0 0 0 0 0 
_1.ptx 360 : 988040 6563632 0 0 0 0 0 0 0 
_1.ptx 363 : 3192 21616 0 0 0 0 0 0 0 
_1.ptx 364 : 991232 6509056 0 0 0 0 0 0 0 
_1.ptx 365 : 991232 21484 0 0 0 0 0 0 0 
_1.ptx 366 : 988040 7356508 0 0 0 0 0 0 0 
_1.ptx 367 : 988040 10243508 0 0 0 0 0 0 0 
_1.ptx 368 : 988040 44408912 3952192 0 0 30878 30878 0 0 
_1.ptx 370 : 988040 6313040 0 0 0 0 0 0 0 
_1.ptx 387 : 495616 2987136 0 0 0 0 0 0 0 
