kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 818 : 140096 1126512 0 0 0 0 0 0 0 
_1.ptx 819 : 140096 1145712 0 0 0 0 0 0 0 
_1.ptx 820 : 140096 0 0 0 0 0 0 0 0 
_1.ptx 821 : 140096 993984 0 0 0 0 0 0 0 
_1.ptx 822 : 140096 1665744 0 4776 4776 0 0 0 0 
_1.ptx 823 : 140096 1008752 0 0 0 0 0 0 0 
_1.ptx 824 : 140096 1149040 0 0 0 0 0 0 0 
_1.ptx 825 : 140096 1022208 0 0 0 0 0 0 0 
_1.ptx 826 : 140096 1552224 0 0 0 0 0 0 0 
_1.ptx 827 : 140096 1145840 0 0 0 0 0 0 0 
_1.ptx 828 : 140096 1153968 0 0 0 0 0 0 0 
_1.ptx 829 : 140096 1156080 0 0 0 0 0 0 0 
_1.ptx 830 : 140096 1029728 0 0 0 0 0 0 0 
_1.ptx 831 : 140096 1567600 0 0 0 0 0 0 0 
_1.ptx 832 : 140096 1653872 0 0 0 0 0 0 0 
_1.ptx 833 : 140096 1157536 0 0 0 0 0 0 0 
_1.ptx 834 : 140096 1158992 0 0 0 0 0 0 0 
_1.ptx 835 : 140096 1161024 0 0 0 0 0 0 0 
_1.ptx 836 : 140096 1550528 0 0 0 0 0 0 0 
_1.ptx 837 : 3502400 30193920 0 0 0 0 0 0 0 
_1.ptx 838 : 3502400 27306634 0 0 0 0 0 0 0 
_1.ptx 839 : 3502400 24533168 0 0 0 0 0 0 0 
_1.ptx 840 : 3502400 702649 0 0 0 0 0 0 18242 
_1.ptx 841 : 3402638 26738845 0 0 0 0 0 0 0 
_1.ptx 842 : 3402638 0 0 0 0 0 0 0 0 
_1.ptx 843 : 3402638 39396472 0 0 0 0 0 0 0 
_1.ptx 844 : 3402638 26768499 0 0 0 0 0 0 0 
_1.ptx 845 : 3402638 36678931 0 0 0 0 0 0 0 
_1.ptx 846 : 85065950 741585345 0 0 0 0 0 0 0 
_1.ptx 847 : 85065950 679958569 0 0 0 0 0 0 0 
_1.ptx 848 : 85065950 604283673 0 0 0 0 0 0 0 
_1.ptx 849 : 85065950 5788001 0 0 0 0 0 0 455 
_1.ptx 850 : 84254450 725575240 0 0 0 0 0 0 0 
_1.ptx 851 : 84254450 664003517 0 0 0 0 0 0 0 
_1.ptx 852 : 84254450 1002187838 2560 0 0 0 0 0 0 
_1.ptx 853 : 84254450 718708603 0 0 0 0 0 0 0 
_1.ptx 854 : 84254450 170303574 0 0 0 0 0 0 0 
_1.ptx 855 : 59905892 696578424 0 2090300 2090300 0 0 0 0 
_1.ptx 856 : 59905892 725339623 0 0 0 0 0 0 0 
_1.ptx 857 : 59905892 818645467 0 0 0 0 0 0 0 
_1.ptx 858 : 59905892 485176105 0 0 0 0 0 0 0 
_1.ptx 859 : 59905892 806795188 0 0 0 0 0 0 0 
_1.ptx 860 : 59905892 697818157 0 0 0 0 0 0 0 
_1.ptx 861 : 59905892 32432562950 560640 0 0 0 0 0 0 
_1.ptx 862 : 59905892 520394596 0 0 0 0 0 0 0 
_1.ptx 863 : 59905892 7052819 0 0 0 0 0 0 0 
_1.ptx 864 : 85065950 609571818 0 0 0 0 0 0 0 
_1.ptx 865 : 85065950 937407701 0 0 0 0 0 0 0 
_1.ptx 866 : 85065950 751509265 0 0 0 0 0 0 0 
_1.ptx 867 : 85065950 950588708 0 0 0 0 0 0 0 
_1.ptx 868 : 85065950 594945616 0 0 0 0 0 0 0 
_1.ptx 869 : 3502400 25611328 0 0 0 0 0 0 0 
_1.ptx 870 : 3502400 38126272 0 0 0 0 0 0 0 
_1.ptx 871 : 3502400 30499616 0 0 0 0 0 0 0 
_1.ptx 872 : 3502400 38425888 0 0 0 0 0 0 0 
_1.ptx 873 : 3502400 24232608 0 0 0 0 0 0 0 
_1.ptx 874 : 140096 1010448 0 0 0 0 0 0 0 
_1.ptx 875 : 140096 1027104 0 0 0 0 0 0 0 
