kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 36 : 317440 2315360 0 0 0 0 0 0 0 
_2.ptx 37 : 317440 2327616 0 0 0 0 0 0 0 
_2.ptx 38 : 317440 3731744 0 9920 9920 0 0 0 0 
_2.ptx 39 : 317440 2363872 0 0 0 0 0 0 0 
_2.ptx 40 : 317440 3613472 0 9920 9920 0 0 0 0 
_2.ptx 41 : 317440 3820416 0 0 0 0 0 0 0 
_2.ptx 42 : 317440 3412320 0 0 0 0 0 0 0 
_2.ptx 43 : 317440 3592416 0 0 0 0 0 0 0 
_2.ptx 44 : 317440 5618592 0 0 0 0 0 0 0 
_2.ptx 45 : 317440 3390368 0 0 0 0 0 0 0 
_2.ptx 46 : 317440 5322144 0 0 0 0 0 0 0 
_2.ptx 47 : 317440 2570016 0 0 0 0 0 0 0 
_2.ptx 48 : 317440 5030624 0 0 0 0 0 0 0 
_2.ptx 49 : 317440 5561152 0 0 0 0 0 0 0 
_2.ptx 50 : 317440 5266208 0 0 0 0 0 0 0 
_2.ptx 51 : 317440 4912832 0 0 0 0 0 0 0 
_2.ptx 52 : 317440 2625824 0 0 0 0 0 0 0 
_2.ptx 53 : 317440 2656736 0 0 0 0 0 0 0 
_2.ptx 54 : 317440 3850528 0 0 0 0 0 0 0 
_2.ptx 55 : 317440 4583712 0 0 0 0 0 0 0 
_2.ptx 56 : 317440 3923168 0 0 0 0 0 0 0 
_2.ptx 57 : 317440 3764128 0 0 0 0 0 0 0 
_2.ptx 58 : 317440 2959616 0 0 0 0 0 0 0 
_2.ptx 59 : 317440 2990336 0 0 0 0 0 0 0 
_2.ptx 60 : 317440 3907584 0 0 0 0 0 0 0 
_2.ptx 61 : 317440 3733152 0 0 0 0 0 0 0 
_2.ptx 62 : 317440 3909632 0 0 0 0 0 0 0 
_2.ptx 63 : 317440 2884640 0 0 0 0 0 0 0 
_2.ptx 64 : 317440 3672832 0 0 0 0 0 0 0 
_2.ptx 65 : 317440 2818848 0 0 0 0 0 0 0 
_2.ptx 66 : 317440 2826944 0 0 0 0 0 0 0 
_2.ptx 67 : 317440 3698208 0 0 0 0 0 0 0 
_2.ptx 68 : 317440 83483040 0 0 0 19840 9920 0 0 
_2.ptx 69 : 317440 143403424 0 0 0 19840 9920 0 0 
_2.ptx 70 : 317440 10029824 0 9920 9920 0 0 0 0 
_2.ptx 71 : 317440 11241888 0 9920 9920 0 0 0 0 
